response_id,respondent_id,submitted_at,consent,response_source,completion_seconds,questionnaire_version,merch_scope,randomization_group,age_band,region_tier,activity_days_30d,player_tenure_months,monthly_merch_budget,has_purchased_merch,annual_merch_spend,purchase_frequency_12m,fandom_identity,preferred_operator_1,preferred_operator_2,preferred_operator_3,operator,category,purchase_intent,acceptable_price,channel,limited_preference,purchase_motivation,purchase_barrier,authenticity_importance,design_importance,practicality_importance,preorder_tolerance_days,price_too_cheap,price_good_value,price_expensive,price_too_expensive,concept_appeal,concept_uniqueness,product_improvement,open_feedback,is_simulated,data_type,simulation_seed,is_real_survey_response,user_segment
SYN-0001,SYN-U-0001,2026-09-03 01:10:00+00:00,True,simulated_bilibili,283,v2.2-synthetic,official_or_licensed_only,B,18～22岁,一线,22,45,110,True,770,9,大学生玩家,重岳,纯烬艾雅法拉,凛御银灰,重岳,亚克力制品,4,59,线下展会或快闪店,5,收藏完整度|喜爱角色,设计不符合预期|运费偏高|发货进度不透明,4,5,3,50,34,54,78,110,3,3,,可以先做小批量预售，并及时同步生产和发货进度。,True,synthetic_persona,20260903,False,core_buyer
SYN-0002,SYN-U-0002,2026-09-03 01:15:00+00:00,True,simulated_player_community,278,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,15,45,50,False,0,0,大学生玩家,赤刃明霄陈,凛御银灰,望,赤刃明霄陈,亚克力制品,2,40,官方商城,4,支持IP或创作者|喜爱角色,价格偏高|售后不便|预售周期过长,4,4,4,44,21,36,53,81,3,4,希望角色立绘还原准确，材质和尺寸说明写清楚。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,observer
SYN-0003,SYN-U-0003,2026-09-03 01:26:00+00:00,True,simulated_bilibili,276,v2.2-synthetic,official_or_licensed_only,A,23～26岁,三线及以下,9,35,50,False,0,0,青年玩家,予愿安洁莉娜,佩佩,怒潮凛冬,予愿安洁莉娜,吧唧（徽章）,4,20,官方商城,4,喜爱角色|社交展示或社区认同,运费偏高|品质或材质不确定|设计不符合预期,4,5,4,20,9,16,25,33,3,4,更愿意购买有实用性的联名商品，不希望只换图重复销售。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,potential_buyer
SYN-0004,SYN-U-0004,2026-09-03 01:32:00+00:00,True,simulated_player_community,378,v2.2-synthetic,official_or_licensed_only,B,18～22岁,二线,8,23,100,False,0,0,大学生玩家,死芒,予愿安洁莉娜,荒芜拉普兰德,死芒,亚克力制品,2,45,淘宝,3,限定或联名属性|喜爱角色|视觉设计或立绘表现,发货进度不透明|商品缺乏实用性|预售周期过长,4,4,4,23,25,37,55,81,4,3,更愿意购买有实用性的联名商品，不希望只换图重复销售。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,observer
SYN-0005,SYN-U-0005,2026-09-03 01:35:00+00:00,True,simulated_bilibili,339,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,11,58,50,True,610,6,大学生玩家,佩佩,缄默德克萨斯,赤刃明霄陈,佩佩,亚克力制品,4,57,官方商城,4,视觉设计或立绘表现|收藏完整度|喜爱角色,商品缺乏实用性|设计不符合预期,5,5,3,38,28,49,72,94,4,4,更愿意购买有实用性的联名商品，不希望只换图重复销售。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,core_buyer
SYN-0006,SYN-U-0006,2026-09-03 01:44:00+00:00,True,simulated_player_community,179,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,22,36,170,True,800,6,大学生玩家,荒芜拉普兰德,贝洛内,娜斯提,荒芜拉普兰德,毛绒玩偶,3,144,淘宝,4,价格与性价比|限定或联名属性|喜爱角色,设计不符合预期|价格偏高,4,4,4,94,66,123,182,229,2,3,更愿意购买有实用性的联名商品，不希望只换图重复销售。,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
SYN-0007,SYN-U-0007,2026-09-03 01:50:00+00:00,True,simulated_weibo,169,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,23,3,70,True,190,4,大学生玩家,缪尔赛思,结城理,凛御银灰,缪尔赛思,吧唧（徽章）,3,23,淘宝,5,支持IP或创作者|视觉设计或立绘表现,商品缺乏实用性|品质或材质不确定,4,4,4,31,11,18,30,44,2,4,希望官方增加实物细节图，并说明售后和补款规则。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,core_buyer
SYN-0008,SYN-U-0008,2026-09-03 01:59:00+00:00,True,simulated_bilibili,331,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,19,28,100,True,390,4,大学生玩家,Mon3tr,真言,焰狐龙梓兰,Mon3tr,吧唧（徽章）,3,20,B站会员购,3,收藏完整度|喜爱角色|支持IP或创作者,预售周期过长|发货进度不透明|品质或材质不确定,4,4,3,30,8,15,22,33,3,4,可以先做小批量预售，并及时同步生产和发货进度。,,True,synthetic_persona,20260903,False,core_buyer
SYN-0009,SYN-U-0009,2026-09-03 02:04:00+00:00,True,simulated_player_community,417,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,28,76,50,False,0,0,大学生玩家,佩佩,望,塑心,佩佩,手办模玩,3,384,其他,3,喜爱角色|支持IP或创作者|视觉设计或立绘表现,设计不符合预期|发货进度不透明|价格偏高,4,5,3,90,160,342,479,679,3,2,,可以先做小批量预售，并及时同步生产和发货进度。,True,synthetic_persona,20260903,False,observer
SYN-0010,SYN-U-0010,2026-09-03 02:10:00+00:00,True,simulated_player_community,369,v2.2-synthetic,official_or_licensed_only,A,23～26岁,二线,26,88,290,True,1520,5,青年玩家,真言,缪尔赛思,斩业星熊,真言,亚克力制品,3,56,B站会员购,4,支持IP或创作者|收藏完整度,设计不符合预期|价格偏高,5,5,4,42,26,48,71,96,3,4,价格合理的情况下，希望同系列角色能够持续补全。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,core_buyer
SYN-0011,SYN-U-0011,2026-09-03 02:17:00+00:00,True,simulated_bilibili,293,v2.2-synthetic,official_or_licensed_only,A,23～26岁,二线,18,38,80,True,300,7,青年玩家,赤刃明霄陈,Mon3tr,怒潮凛冬,赤刃明霄陈,毛绒玩偶,3,92,官方商城,4,喜爱角色|收藏完整度,已有同类商品过多|发货进度不透明|价格偏高,5,4,3,80,42,80,123,185,4,3,,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,core_buyer
